participant_id,story_condition,gender,age_years,school_level,ses_hollingshead,ln_k_pre,ln_k_post,allocation_immediate_pre,allocation_immediate_post,allocation_short_pre,allocation_short_post,allocation_long_pre,allocation_long_post,subjective_time_pre,subjective_time_post
S1_B98E2FAF,last_leaf_maple_valley,female,10,grade_4,52,-7.981878878289828,-7.981878878289828,16.66666666666666,20,33.33333333333333,30,50,50,51.66666666666666,23.66666666666667
S1_D44313C1,last_leaf_maple_valley,female,14,grade_8,42.09999999999999,-9.210340371976182,-7.277516909858038,50,30,16.66666666666666,20,33.33333333333333,50,39.33333333333334,33.33333333333334
S1_66AAEFF2,last_leaf_maple_valley,male,10,grade_4,45,-7.981878878289828,-7.277516909858038,16.66666666666666,20,16.66666666666666,20,66.66666666666666,60,65,40.33333333333334
S1_1DF655DD,last_leaf_maple_valley,male,14,grade_8,52,-5.890288333444447,-5.886103951450159,6.66666666666666,10,33.33333333333333,30,60,60,40,66.66666666666667
S1_E447910D,last_leaf_maple_valley,female,10,grade_4,73,-5.890288333444447,0.3465735900161546,16.66666666666666,90,16.66666666666666,5,66.66666666666666,5,6,6
S1_1D6A90F1,last_leaf_maple_valley,male,10,grade_4,52,-2.081668715992326,-7.981878878289828,40,5,40,50,20,45,7.666666666666667,8
S1_861B69CF,last_leaf_maple_valley,female,,grade_8,52.45,-7.981878878289828,-5.196417130759268,33.33333333333333,50,33.33333333333333,20,33.33333333333333,30,73.33333333333333,20
S1_0576C734,ant_and_grasshopper,male,11,grade_4,40,-6.917383481724136,-5.196417130759268,16.66666666666666,10,33.33333333333333,20,50,70,73.33333333333333,55
S1_836C0106,ant_and_grasshopper,female,14,grade_8,32.5,-6.565166074925644,-7.277516909858038,50,40,16.66666666666666,20,33.33333333333333,40,46.66666666666666,40
S1_5CC9063F,last_leaf_maple_valley,female,10,grade_4,41,-7.981878878289828,-7.981878878289828,26.66666666666666,20,40,20,33.33333333333333,60,25.66666666666667,28.33333333333333
S1_937AAB65,ant_and_grasshopper,female,14,grade_8,48,0.3465735900161546,-7.981878878289828,40,40,40,20,20,40,51.66666666666666,53.33333333333334
S1_B0DAEF38,last_leaf_maple_valley,male,,grade_8,52.45,-7.981878878289828,-7.981878878289828,0,0,0,0,100,100,88.66666666666667,37.66666666666666
